Estoy trabajando en,Dónde estás trabajando,Tipo de contrato,Salario mensual o retiro BRUTO (en tu moneda local),Salario mensual o retiro NETO (en tu moneda local),Pagos en dólares,¿Cuál fue el último valor de dólar que tomaron?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto al último semestre,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación durante 2020?,¿De qué % fue el ajuste total?,¿En qué mes fue el último ajuste?,Trabajo de,Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Plataformas,Lenguajes de programación o tecnologías.,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,Cantidad de personas en tu organización,Actividad principal,¿La recomendás como un buen lugar para trabajar?,¿Cómo calificás las políticas de diversidad e inclusión?,Beneficios extra,¿Salir o seguir contestando?,Nivel de estudios alcanzado,Estado,Carrera,Universidad,Realizaste cursos de especialización,¿Contribuís a proyectos open source?,¿Programás como hobbie?,¿Salir o seguir contestando?,¿Tenés guardias?,Cuánto cobrás por guardia,"¿Porcentaje, bruto o neto?",¿Salir o seguir contestando?,¿Sufriste o presenciaste situaciones de violencia laboral?,Identidad sexual,¿Tenés algún tipo de discapacidad?,¿Sentís que esto te dificultó el conseguir trabajo?,¿Salir o seguir contestando?,¿Cómo venís llevando la cuarentena?,¿Tenés hijos/as menores de edad?,¿Con cuántas personas estás conviviendo?,¿Con quiénes convivís?,¿Tenés un espacio dedicado para el trabajo?,¿Tenés que compartir tu equipo de trabajo con alguien?,¿Qué tipo de cuarentena hiciste / estás haciendo?,¿Cambió tu situación laboral a raíz de la pandemia?,¿Qué tanto sentís que te está apoyando tu empresa/organización en esta situación?,¿Cómo se vio afectada tu empresa/organización?,¿Instauraron algún beneficio nuevo?,Tengo,Me identifico
Colombia,,Full-Time,4200000,3800000,,,3,3,De uno a tres sueldos,Permanencia,No,0,0,Technical Leader,9,9,4,5,Ninguna de las anteriores,".NET, C#, CSS, HTML, Javascript",".NET Core, Cordova, Node.js",Microsoft SQL Server,Jest,"Android Studio, Visual Studio Code, Xcode",11-50,Servicios / Consultoría de Software / Digital,8,8,"Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Sueldo divido en dos pagos por mes",Quiero responder más preguntas,Universitario,Completado,Ingeniería en Sistemas de Información,ITM - Instituto Tecnológico Metropolitano,No,Sí,Sí,Quiero responder más preguntas,No,0,Porcentaje de mi sueldo,Quiero responder más preguntas,En un trabajo anterior,Heterosexual,,,Ya colaboré lo suficiente,,,,,,,,,,,,41,Varón Cis
Argentina,GBA,Full-Time,103.876,82.073,,,3,3,No,No recibo bono,Dos,14,10,Developer,3,1,3,0,Docker,"CSS, HTML, Javascript","React.js, Ninguno de los anteriores",Ninguna de las anteriores,Ninguna de las anteriores,Visual Studio Code,201-500,Servicios / Consultoría de Software / Digital,5,6,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",Quiero responder más preguntas,Secundario,Completado,,,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Quiero responder más preguntas,No,0,Neto,Quiero responder más preguntas,En mi trabajo actual,Bisexual,,,Quiero responder más preguntas,3,0,1,Familia de origen (madre/padre/hermanos/as),No,No,2,"Cambié de trabajo, pero no por la pandemia",7,No la afectó,Clases de yoga,23,Mujer Cis
Argentina,Mendoza,Part-Time,34000,30000,,,3,2,No,No recibo bono,Tres,15,12,Developer,0,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Visual Studio Code,101-200,Producto basado en Software,7,7,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,330000,233000,,,3,3,Un sueldo,Performance de la compañía,Tres,52,9,Developer,9,3,3,0,Linux,Python,Flask,"PostgreSQL, Redis",pytest,"PyCharm, Vim",201-500,Producto basado en Software,9,8,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia de paternidad / maternidad extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Varón Cis
Chile,,Remoto (empresa de otro país),120000,108000,Cobro en dólares,150,4,4,Menos de un sueldo,Mix de las anteriores,No,0,0,Developer,0,0,0,0,"Amazon Web Services, Docker, Linux","Python, SQL","Ninguno de los anteriores, Web2py","MongoDB, MySQL, SQLite","Postman, Pytest",Visual Studio Code,11-50,Producto basado en Software,10,10,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Viáticos",Quiero responder más preguntas,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,Quiero responder más preguntas,No,0,Porcentaje de mi sueldo,Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,24,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,250000,175000,,,2,2,De uno a tres sueldos,Mix de las anteriores,Uno,25,6,Product Manager,10,1,5,5,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Producto basado en Software,7,7,"Comidas pagas / subvencionadas, Horarios flexibles",Quiero responder más preguntas,Terciario,Incompleto,Analista de Sistemas,Escuela Da Vinci,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Quiero responder más preguntas,No,0,Bruto,Quiero responder más preguntas,En un trabajo anterior,Heterosexual,,,Quiero responder más preguntas,3,2,3,"Pareja, Hijos/as (tiempo completo)",No,No,4,No,10,Se vio beneficiada,"Almuerzo o delivery de snacks/bebidas (saludables o para after office), Compra de accesorios (escritorio, monitor, teclado, mouse, etc)",37,Varón Cis
México,,Full-Time,BRUTO,42000,,,2,2,No,No recibo bono,No,0,0,SysAdmin / DevOps / SRE,30,20,12,2,"Arduino o similar, *BSD, Linux, OpenStack, Windows Server","Bash/Shell, HTML, Javascript, PHP, Python, SQL","Hadoop, Node.js, TensorFlow","MariaDB, Microsoft SQL Server, MongoDB, MySQL, SQLite",Ninguna de las anteriores,"Android Studio, Eclipse, IPython / Jupyter, Notepad++, Vi, Visual Studio, Xcode",51-100,Otras industrias,5,7,Estacionamiento gratuito / subvencionado,Quiero responder más preguntas,Posgrado,Completado,Ingeniería en Computación,UNAM,"Sí, los pagó un empleador",Sí,Sí,Quiero responder más preguntas,No,0,Porcentaje de mi sueldo,Quiero responder más preguntas,En un trabajo anterior,Heterosexual,Visual,No,Quiero responder más preguntas,4,0,1,Pareja,Sí,No,3,No,6,"Despidió a algunas personas, Frenaron las contrataciones",Ninguna de las anteriores,49,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,60000,50000,,,3,2,No,No recibo bono,Dos,22,9,Developer,2,1,1,2,Ninguna de las anteriores,"HTML, Javascript, PHP, SQL","Bootstrap, jQuery","MariaDB, Microsoft SQL Server, MySQL, Redis",Ninguna de las anteriores,"PHPStorm, SQLYog",11-50,Producto basado en Software,8,10,"Horarios flexibles, Remoto, días de exámenes y si presentas algún curso que sirva, te lo pagan.",Quiero responder más preguntas,Universitario,En curso,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,No,No,Sí,Quiero responder más preguntas,No,0,Bruto,Quiero responder más preguntas,En un trabajo anterior,Heterosexual,,Sí,Quiero responder más preguntas,2,0,3,Familia de origen (madre/padre/hermanos/as),No,No,4,No,10,No la afectó,"Compra de accesorios (escritorio, monitor, teclado, mouse, etc)",20,Varón Cis
Argentina,Entre Ríos,Full-Time,370000,370000,Cobro en dólares,150,4,3,Menos de un sueldo,Performance individual,No,0,0,Developer,7,1,1,0,Linux,"Bash/Shell, Groovy, Javascript, PHP, SQL","jQuery, Symfony","MariaDB, MySQL, PostgreSQL","Postman, SoapUI","IntelliJ, PHPStorm",51-100,Servicios / Consultoría de Software / Digital,10,10,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia de paternidad / maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",Quiero responder más preguntas,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Quiero responder más preguntas,No,0,Porcentaje de mi sueldo,Quiero responder más preguntas,Jamás,Heterosexual,,No,Quiero responder más preguntas,4,0,1,Pareja,No,No,2,No,9,No la afectó,Ninguna de las anteriores,32,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,277945,180632,Mi sueldo está dolarizado (pero cobro en moneda local),85.27,4,4,No,No recibo bono,Uno,6,6,Developer,2,0,2,0,Heroku,"CSS, HTML, Javascript","Node.js, React.js, Next.js",Redis,"Cypress, Jest",Visual Studio Code,501-1000,Producto basado en Software,10,8,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",Quiero responder más preguntas,Secundario,Completado,,,"Sí, de forma particular",No,No,Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,29,Mujer Cis
